0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Bread,,Bacon,,Banana,Apple,Hazelnut,,,Carrot,,,,,,,,HeavyCream,Egg,,,Sugar
Bread,Honey,Bacon,,Banana,Apple,Hazelnut,,,,Cucumber,,Milk,Butter,,,Floar,,,Olive,Shampoo,
,Honey,Bacon,Toothpaste,Banana,Apple,Hazelnut,Cheese,Meat,,Cucumber,Onion,Milk,,ShavingFoam,Salt,Floar,HeavyCream,Egg,,,Sugar
Bread,Honey,,Toothpaste,,Apple,,,,,Cucumber,Onion,Milk,,,,Floar,,Egg,Olive,Shampoo,
,Honey,,,,,,,,,,,,,,,,,,,,
,Honey,,Toothpaste,,,Hazelnut,,,,,Onion,,,ShavingFoam,,,,,,,Sugar
,,Bacon,,Banana,Apple,,,,Carrot,,,,,,Salt,,HeavyCream,,,,
,,Bacon,Toothpaste,Banana,,Hazelnut,,,,Cucumber,Onion,,,,Salt,,,Egg,,,
,Honey,Bacon,,Banana,Apple,Hazelnut,Cheese,Meat,Carrot,,Onion,,Butter,ShavingFoam,,,HeavyCream,Egg,Olive,,
,,,,,,,,,,,Onion,Milk,,,Salt,Floar,HeavyCream,,,Shampoo,
,,Bacon,Toothpaste,,Apple,Hazelnut,,,Carrot,,,,Butter,,,Floar,HeavyCream,Egg,Olive,,
,Honey,Bacon,Toothpaste,,,,,Meat,,,Onion,,Butter,,,Floar,HeavyCream,,,,Sugar
Bread,Honey,Bacon,Toothpaste,Banana,Apple,,,Meat,Carrot,,Onion,Milk,,ShavingFoam,,,,Egg,Olive,Shampoo,Sugar
Bread,,Bacon,Toothpaste,Banana,,Hazelnut,Cheese,,Carrot,,,,,ShavingFoam,Salt,,HeavyCream,Egg,Olive,,Sugar
,,,Toothpaste,Banana,,,,,Carrot,Cucumber,,,,ShavingFoam,,Floar,,Egg,Olive,Shampoo,Sugar
,,Bacon,,,,,,,,,,Milk,,,,Floar,,,,Shampoo,
,,,Toothpaste,,,,,,,Cucumber,,,,,,Floar,,,,,
,,,,,,,,,,,Onion,,,ShavingFoam,Salt,,,,Olive,,
Bread,Honey,Bacon,Toothpaste,,,Hazelnut,Cheese,Meat,Carrot,,Onion,,Butter,ShavingFoam,Salt,,,,,,Sugar
Bread,,Bacon,Toothpaste,Banana,,Hazelnut,Cheese,,Carrot,,Onion,,Butter,ShavingFoam,Salt,Floar,,,Olive,,Sugar
,,,,,,,Cheese,,,,,,,ShavingFoam,,,,,,Shampoo,Sugar
,,,,Banana,,,Cheese,Meat,Carrot,,Onion,,,,Salt,,HeavyCream,Egg,Olive,,
Bread,Honey,Bacon,Toothpaste,,,,Cheese,,Carrot,,Onion,,Butter,ShavingFoam,,,,Egg,,,
,Honey,,Toothpaste,,,,,Meat,Carrot,,Onion,,,,,,HeavyCream,Egg,,Shampoo,
,Honey,,Toothpaste,Banana,,Hazelnut,Cheese,,,,,,,,,,HeavyCream,,Olive,,
,Honey,Bacon,,,Apple,Hazelnut,Cheese,Meat,,,Onion,,Butter,ShavingFoam,Salt,,,,,Shampoo,Sugar
,Honey,,,,,Hazelnut,Cheese,,,,,Milk,,,,,,,,Shampoo,
Bread,,Bacon,Toothpaste,,Apple,,,,Carrot,,,,Butter,ShavingFoam,,,,,,Shampoo,Sugar
Bread,Honey,Bacon,,,,,Cheese,Meat,,Cucumber,Onion,Milk,,ShavingFoam,Salt,,HeavyCream,,,,Sugar
Bread,Honey,,,,Apple,,,Meat,Carrot,,,,,,Salt,,HeavyCream,Egg,,Shampoo,
,,Bacon,Toothpaste,,Apple,Hazelnut,,Meat,,Cucumber,Onion,,Butter,ShavingFoam,,Floar,,Egg,Olive,,Sugar
,Honey,,Toothpaste,Banana,Apple,Hazelnut,Cheese,Meat,Carrot,Cucumber,Onion,Milk,,,,Floar,,Egg,Olive,,
Bread,Honey,,Toothpaste,Banana,Apple,Hazelnut,,,,,,Milk,Butter,,Salt,Floar,HeavyCream,,,Shampoo,
Bread,,Bacon,,Banana,Apple,Hazelnut,Cheese,,Carrot,Cucumber,Onion,Milk,,,Salt,,HeavyCream,Egg,Olive,,
Bread,,Bacon,Toothpaste,Banana,,Hazelnut,,Meat,,Cucumber,,,,,Salt,,,,,,Sugar
Bread,,Bacon,,,Apple,Hazelnut,,Meat,,,,Milk,,,Salt,Floar,HeavyCream,,Olive,Shampoo,Sugar
Bread,,,Toothpaste,,,,Cheese,,,,,Milk,,,Salt,Floar,,Egg,,,
,,Bacon,,,,,,,,,,,,,,,,,Olive,,
Bread,,Bacon,Toothpaste,Banana,,Hazelnut,,,Carrot,,,,Butter,ShavingFoam,,,,,Olive,,
,,,,Banana,Apple,Hazelnut,Cheese,Meat,,Cucumber,,,,,Salt,,,,,,Sugar
,,,,,,,,,,Cucumber,,,,,Salt,,HeavyCream,,,,Sugar
,,,,,Apple,,,,,,,Milk,,,,,HeavyCream,,Olive,,
Bread,,,,,,,Cheese,,,,Onion,,,,,Floar,,,Olive,,
Bread,,Bacon,,Banana,,,Cheese,,Carrot,Cucumber,Onion,Milk,Butter,,Salt,,,Egg,Olive,,
,Honey,,Toothpaste,Banana,Apple,,,Meat,Carrot,,,Milk,,,Salt,Floar,,,Olive,,
Bread,Honey,,,,,Hazelnut,Cheese,Meat,Carrot,,,,Butter,ShavingFoam,,,,,Olive,,
,,Bacon,,,,,,,,,,,,,,,,,,,
,,Bacon,Toothpaste,Banana,Apple,Hazelnut,,Meat,Carrot,,,,,,Salt,Floar,HeavyCream,,Olive,,Sugar
,,Bacon,Toothpaste,Banana,,,Cheese,Meat,Carrot,Cucumber,Onion,,Butter,,,Floar,,Egg,,Shampoo,
Bread,Honey,,Toothpaste,,,Hazelnut,,Meat,,,Onion,Milk,Butter,,,Floar,,,Olive,Shampoo,
,,Bacon,Toothpaste,Banana,,,Cheese,Meat,,Cucumber,Onion,,Butter,ShavingFoam,,Floar,,,,Shampoo,Sugar
